n,m,bidding requirement,forced permutations,number of bids until prices update,total bids until closure,fallback probability,price weight,matching algorithm,sample index,total bids,total_excess_papers,allocated_papers_per_bid,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
24,52,6,0,5,32,75,2,FractionalAllocation,9,190,28.15357143,0.67287594,0.320040486,0.236842105,0.608757226,8.132471387,0.215738762,0.154208923,7.892203528,0.198674328,0.141046207,8.853274965,0.234321179,0.191661765,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,10,201,26.79285714,0.642821606,0.308553387,0.228377344,0.664856223,7.933847129,0.178821723,0.12395904,8.550362433,0.176864512,0.119239626,6.906321622,0.14789696,0.10903531,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,11,191,32.81428571,0.644951384,0.346254531,0.253926702,0.596500048,8.654152947,0.190606775,0.134381069,8.576053636,0.180949062,0.126114506,9.044649503,0.208215092,0.180048614,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,12,194,27.35714286,0.663107511,0.310467883,0.223037272,0.631030705,8.226396144,0.215217315,0.143363643,8.447128206,0.155856438,0.104123434,7.690332563,0.317984397,0.234355606,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,13,195,29.11071429,0.650714286,0.330078895,0.23974359,0.626068298,8.233932351,0.200729965,0.138551352,8.512338979,0.168272114,0.115795049,7.398712465,0.236427341,0.1839679,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,14,196,30.075,0.64247449,0.333594976,0.247252747,0.621766334,8.264187663,0.176369063,0.123508935,8.935670579,0.160144613,0.108711316,6.249738913,0.111810686,0.086354896,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,15,191,29.65,0.661518325,0.325312122,0.234695932,0.604788624,8.122151463,0.201270948,0.150139847,8.350197186,0.16215604,0.116967663,7.666060017,0.266837043,0.222404942,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,16,194,29.16428571,0.653792342,0.312648692,0.227200634,0.617665223,8.216120103,0.197852206,0.134314138,9.01764933,0.166754173,0.110112018,6.269549121,0.180820341,0.123917124,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,17,193,28,0.663212435,0.320745317,0.229872459,0.612299773,8.106468699,0.200978633,0.14043454,8.449897218,0.21255154,0.152028775,7.076183143,0.083903347,0.063424209,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,18,192,29.6,0.658333333,0.336338141,0.244791667,0.597465095,8.361048855,0.183433849,0.130324919,7.956004444,0.172747949,0.127821322,9.576182089,0.187967249,0.143614483,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,19,200,26.025,0.649875,0.310769231,0.218076923,0.646576007,7.873875463,0.200124413,0.149819272,8.173483199,0.190215565,0.139859585,7.274659991,0.208208801,0.16705165,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,20,195,25.24642857,0.670531136,0.296745562,0.21025641,0.650660214,7.85889838,0.171436194,0.120431044,7.977371105,0.168751839,0.117453018,7.503480204,0.142533094,0.119403339,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,21,187,30,0.673796791,0.319724393,0.233751543,0.595111119,8.186739818,0.208565691,0.149919726,8.126534833,0.181214144,0.127927793,8.332951925,0.249002068,0.203332729,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
