bidding requirement,forced permutations,number of bids until prices update,total bids until closure,fallback probability,price weight,matching algorithm,sample index,total bids,total_excess_papers,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
3.8,0,5,290,75,2,FractionalAllocation,2,915.0,-176.0,0.3976713859910581,0.28314704421261805,0.8712070036806407,5.994841271679043,0.2597095894693052,0.18851621945535962,6.162555552545155,0.23742291937529958,0.17191587406236597,5.550398427383843,0.313614003283967,0.2301386188419893,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,75,2,FractionalAllocation,3,924.0,-176.0,0.39462809917355374,0.2819264069264069,0.8735761964635617,5.998543887154197,0.2525257727318764,0.18151768533738497,6.314009098357488,0.23263201274346448,0.16748886684234768,5.034622408477473,0.292485606727721,0.20425357733984978,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,75,2,FractionalAllocation,4,955.0,-176.0,0.38572703474535935,0.27392313184198,0.8966215751167027,5.868352737358978,0.2645647840415071,0.19160590508152858,6.4483227464747985,0.2393436863146715,0.17187512934844865,4.383063689623338,0.2626769185053573,0.1864173198952953,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,90,2,FractionalAllocation,0,891.0,-176.0,0.392619375573921,0.27714646464646464,0.8575831834973924,5.904477288829015,0.2470034555528312,0.17607260461461424,6.0724014669917565,0.23126865890160914,0.16569687898416416,4.186483773779432,0.3486054102092181,0.23474499897762413,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,90,2,FractionalAllocation,1,888.0,-176.0,0.39873822686322685,0.2859848484848485,0.8452563902421866,5.961910809144263,0.24613875379956368,0.17658526551829584,6.014490898414425,0.24265771338116746,0.17356465671349836,5.5346975838242045,0.2702111471644767,0.19833117813114323,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,90,2,FractionalAllocation,2,891.0,-176.0,0.3931677890011223,0.2784090909090909,0.8513582318456124,5.8615021848018,0.24161962396654713,0.17261622728296916,6.001888125218378,0.23462203869889833,0.16737856366820664,4.293859183483346,0.2671580038998685,0.20438018356982895,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,90,2,FractionalAllocation,3,897.0,-176.0,0.3959346812607682,0.2795112496199453,0.8527952520635651,5.936501476788459,0.24998451886985093,0.1769459317268432,6.147284823215704,0.23803445371471385,0.16839893560894792,4.3370278480170175,0.29361194608740454,0.2241850107086233,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,90,2,FractionalAllocation,4,893.0,-176.0,0.39478138043367605,0.2803433268858801,0.8416616566732685,5.8756052095737115,0.2597463410563409,0.18673613420305504,6.114952321687867,0.243373097960425,0.17488700944897934,4.275758723336984,0.33247604717628454,0.24058911371358271,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,100,2,FractionalAllocation,0,876.0,-176.0,0.39720838522208385,0.28178185969281855,0.8345017775545516,5.88611958448838,0.24404666476979595,0.17404637593498765,5.88611958448838,0.24404666476979595,0.17404637593498765,nan,nan,nan,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,100,2,FractionalAllocation,1,876.0,-176.0,0.39720838522208385,0.28178185969281855,0.8345017775545516,5.88611958448838,0.24404666476979595,0.17404637593498765,5.88611958448838,0.24404666476979595,0.17404637593498765,nan,nan,nan,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,100,2,FractionalAllocation,2,876.0,-176.0,0.39720838522208385,0.28178185969281855,0.8345017775545516,5.88611958448838,0.24404666476979595,0.17404637593498765,5.88611958448838,0.24404666476979595,0.17404637593498765,nan,nan,nan,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,100,2,FractionalAllocation,3,876.0,-176.0,0.39720838522208385,0.28178185969281855,0.8345017775545516,5.88611958448838,0.24404666476979595,0.17404637593498765,5.88611958448838,0.24404666476979595,0.17404637593498765,nan,nan,nan,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,100,2,FractionalAllocation,4,876.0,-176.0,0.39720838522208385,0.28178185969281855,0.8345017775545516,5.88611958448838,0.24404666476979595,0.17404637593498765,5.88611958448838,0.24404666476979595,0.17404637593498765,nan,nan,nan,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
